iter	MultiClass
0	2.863042706
1	2.34506072
2	2.069323175
3	1.862075452
4	1.650160536
5	1.514737788
6	1.376953579
7	1.281647177
8	1.193477348
9	1.114504106
10	1.039396304
11	0.9689948021
12	0.9075741449
13	0.8611302138
14	0.8166291769
15	0.7729664167
16	0.7335233101
17	0.6969484009
18	0.6638130067
19	0.6356463019
20	0.6112013302
21	0.5879440722
22	0.5644137124
23	0.5453409569
24	0.5270163271
25	0.5065814181
26	0.489125747
27	0.4727657769
28	0.4651759391
29	0.4538656727
30	0.4418205352
31	0.4294462807
32	0.418222405
33	0.4092320464
34	0.3980283135
35	0.39069965
36	0.3814120147
37	0.373139983
38	0.3653456323
39	0.357839873
40	0.3528483441
41	0.346977771
42	0.3427388339
43	0.3364112164
44	0.3297705113
45	0.3246118231
46	0.3186511128
47	0.3148329096
48	0.3084244819
49	0.303664987
50	0.2982735711
51	0.2939465816
52	0.2891070823
53	0.2851387429
54	0.2809769048
55	0.2778046497
56	0.2741373935
57	0.270629004
58	0.2664881711
59	0.2631316795
60	0.2602967783
61	0.2574779244
62	0.2541603215
63	0.2522557925
64	0.2494534491
65	0.2465580094
66	0.2433072494
67	0.2415651473
68	0.2392082505
69	0.2368073602
70	0.2341629692
71	0.2327032287
72	0.2297796093
73	0.2275741838
74	0.225736478
75	0.223082587
76	0.2217416104
77	0.2205617029
78	0.2181463665
79	0.2160828801
80	0.214414535
81	0.2130393694
82	0.2115230873
83	0.2098047437
84	0.2089847044
85	0.2069193573
86	0.2054503052
87	0.2039003475
88	0.2030809844
89	0.2015167462
90	0.1998941045
91	0.1986096314
92	0.1972639704
93	0.1954942295
94	0.1944125296
95	0.1937668349
96	0.1924480641
97	0.1909809827
98	0.1893403498
99	0.1883613169
100	0.1873887379
101	0.1858948013
102	0.184558496
103	0.183506864
104	0.1825247753
105	0.1813145171
106	0.1798989657
107	0.1787898944
108	0.1774660177
109	0.1762894971
110	0.1752852228
111	0.1740444203
112	0.1727977625
113	0.1716761333
114	0.1702215009
115	0.1690006326
116	0.1678898247
117	0.1669224834
118	0.1657692228
119	0.16414946
120	0.1626717571
121	0.1620075461
122	0.1608292687
123	0.1597512784
124	0.158982469
125	0.1577951361
126	0.1574476021
127	0.1564507828
128	0.1560823194
129	0.1551068525
130	0.1541259999
131	0.1534145852
132	0.1527014169
133	0.15206633
134	0.1514391006
135	0.1505473291
136	0.1493522274
137	0.1483079942
138	0.1475017169
139	0.1464976035
140	0.1454091595
141	0.1447770488
142	0.1439430084
143	0.1430727042
144	0.1426465005
145	0.1417297143
146	0.1413450702
147	0.140716847
148	0.1402455366
149	0.1398011209
150	0.1393132875
151	0.1389274655
152	0.1379408106
153	0.137269736
154	0.1367414128
155	0.1363546583
156	0.1355882382
157	0.1349184981
158	0.1342043971
159	0.1334798673
160	0.1327857437
161	0.1322696232
162	0.1320551728
163	0.1312099551
164	0.1308145348
165	0.130239961
166	0.1298504125
167	0.1291133799
168	0.1288179166
169	0.1279318572
170	0.1275795397
171	0.1269844446
172	0.1266512967
173	0.1260798769
174	0.1256659667
175	0.1251292186
176	0.1245179642
177	0.1243292153
178	0.1240028391
179	0.1234572054
180	0.1227130592
181	0.1222241677
182	0.1217363389
183	0.1210095423
184	0.1200804718
185	0.1197485361
186	0.119155331
187	0.1185486136
188	0.118056118
189	0.1175856885
190	0.1167432479
191	0.1165044558
192	0.1158175292
193	0.1153864886
194	0.1150820436
195	0.1146081297
196	0.113977518
197	0.1134818046
198	0.1129772158
199	0.1126510925
200	0.1122569268
201	0.1115872764
202	0.1111828936
203	0.1106781004
204	0.1104817609
205	0.110095993
206	0.1097047183
207	0.1090110371
208	0.1085461608
209	0.1081991687
210	0.1078467522
211	0.107307699
212	0.1067872863
213	0.1063822071
214	0.1061397761
215	0.1058217986
216	0.1056121687
217	0.1055089047
218	0.1049962462
219	0.1045578422
220	0.1041941499
221	0.1037669579
222	0.1034644456
223	0.1031667505
224	0.1027064556
225	0.1022778806
226	0.1018981964
227	0.1015039228
228	0.1012118353
229	0.1006159891
230	0.1003196865
231	0.09993825995
232	0.09946648988
233	0.09911752589
234	0.09870396499
235	0.09828186041
236	0.09806346375
237	0.09763712425
238	0.09730907473
239	0.09718193186
240	0.09662561221
241	0.09633570934
242	0.09604464081
243	0.09577791033
244	0.09537872726
245	0.09506507856
246	0.09486004786
247	0.09457717019
248	0.09434984381
249	0.09396404149
250	0.093708973
251	0.09355720596
252	0.09326298247
253	0.09301502967
254	0.09270715515
255	0.09250212394
256	0.09237007011
257	0.09214356011
258	0.09177326016
259	0.09141905911
260	0.091164938
261	0.09092004979
262	0.09066819332
263	0.09049629842
264	0.09027367022
